"","date","Bike_total","min-temp","max-temp","niederschlag","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"407",2019-01-27,5964,0.5,6.3,0.2,0,0,0,1,0
"408",2019-08-29,46024,22.3,30.4,0,0,0,0,0,0
"409",2019-10-26,27458,11.4,18.4,0,0,0,0,1,0
"410",2019-09-12,46589,16.8,23.8,0,0,0,0,0,0
"411",2019-05-16,19524,6.1,13,10.4,0,0,0,0,0
"412",2019-03-27,22344,5.1,9.6,0.4,0,0,0,0,0
"413",2019-02-14,17458,5.9,10.8,0,0,0,0,0,0
"414",2019-08-31,37556,21.1,31.8,0,0,0,1,0,0
"415",2019-11-20,17607,8.3,9.9,5.7,0,0,0,0,0
"416",2019-11-19,26828,7.3,13.1,0,0,0,0,0,0
"417",2019-08-10,31569,22.3,31.2,0.5,0,0,1,0,0
"418",2019-09-23,37518,13.4,20.9,0,0,0,0,0,0
"419",2019-06-07,48316,17,27,2.6,0,0,0,0,0
"420",2019-05-09,20999,11.3,15.7,5.4,0,0,0,0,0
"421",2019-09-19,39241,11.3,16.4,0,0,0,0,0,0
"422",2019-07-24,52637,21.9,32.7,0,0,0,0,0,0
"423",2019-11-30,11791,3.8,7,0,0,0,1,0,0
"424",2019-06-24,52995,20.1,28.9,0,0,0,0,0,0
"425",2019-10-27,27921,10.7,22,0,0,0,0,1,0
"426",2019-09-18,42356,12.2,17.9,0,0,0,0,0,0
"427",2019-06-15,37126,22.8,33.9,0.2,0,0,1,0,0
"428",2019-12-01,9303,0.8,4.2,0,0,0,0,1,0
"429",2019-12-10,21088,3.4,6.9,0,0,0,0,0,0
"430",2019-05-20,20237,13.8,20.6,5.5,0,0,0,0,0
"431",2019-04-09,43641,11.7,19.7,0,0,0,0,0,0
"432",2019-01-04,4199,-2.2,1.5,5.2,0,0,0,0,0
"433",2019-05-08,42570,6.7,19.3,0,0,0,0,0,0
"434",2019-12-15,9553,5.2,8.3,0.1,0,0,0,1,0
"435",2019-05-11,22533,11.2,20.7,3.9,0,0,1,0,0
"436",2019-09-28,12727,15.4,19,7.1,0,0,1,0,0
"437",2019-05-05,3693,4.6,8.7,14.8,0,0,0,1,0
"438",2019-12-11,19551,-0.7,3.2,0,0,0,0,0,0
"439",2019-08-28,50276,21.8,32.2,0,0,0,0,0,0
"440",2019-04-26,42739,14.8,26.8,0,0,0,0,0,0
"441",2019-07-11,47464,16,24.5,0,0,0,0,0,0
"442",2019-03-26,25184,5.1,10,0,0,0,0,0,0
"443",2019-08-01,48468,19.4,28.7,0,0,0,0,0,0
"444",2019-07-27,18251,21.3,27.3,10.7,0,0,1,0,0
"445",2019-12-26,4961,4.9,7.1,0.1,0,0,0,1,0
"446",2019-08-04,38748,17.2,26.8,0,0,0,0,1,0
"447",2019-10-04,32141,10.3,15.2,0.2,0,0,0,0,0
"448",2019-09-16,45753,18,26.5,0,0,0,0,0,0
"449",2019-03-28,24061,7,12.8,0.3,0,0,0,0,0
"450",2019-05-30,18664,11.2,15.7,11.7,0,0,0,1,0
"451",2019-01-03,4900,-1.3,0.5,2.2,0,0,0,0,0
"452",2019-10-18,32405,11.3,16.3,0,0,0,0,0,0
"453",2019-11-11,23898,2.3,9.6,0,0,0,0,0,0
"454",2019-10-25,36025,13.6,20.7,0,0,0,0,0,0
"455",2019-06-13,55869,22,30.5,0,0,0,0,0,0
"456",2019-12-27,8095,4.1,6.1,0,0,0,0,0,0
"457",2019-12-17,20749,4.4,7.4,0,0,0,0,0,0
"458",2019-04-21,27182,11.4,21.7,0,0,0,0,1,0
"459",2019-10-15,38819,13.5,21.5,0,0,0,0,0,0
"460",2019-04-01,36509,8.7,15.2,0,0,0,0,0,0
"461",2019-07-22,47873,21.6,30.3,0,0,0,0,0,0
"462",2019-05-02,45908,13.8,22.6,0,0,0,0,0,0
"463",2019-02-13,14926,2.8,7.7,0.4,0,0,0,0,0
