"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"202",2018-07-04,21434,16.1,26.9,0.2,86,7.7,0,0,0,0,0
"203",2018-11-23,9062,-0.3,2.5,0,100,0,0,0,0,0,0
"204",2018-06-02,12073,15.2,24.4,0,51,10.9,0,0,1,0,0
"205",2018-01-31,10254,5.6,11.6,0.1,88,5.2,0,0,0,0,0
"206",2018-02-06,7551,-2.5,2.3,0,93,5.4,0,0,0,0,0
"207",2018-09-12,21041,14.2,29.3,0,14,12.1,0,0,0,0,0
"208",2018-08-19,11391,16.6,30.1,0,26,12.7,0,0,0,1,0
"209",2018-01-28,3847,5.6,10.5,0,88,0,0,0,0,1,0
"210",2018-12-17,6080,-2.9,4.2,0.2,98,0.7,0,0,0,0,0
"211",2018-05-28,18801,14.3,29,0,70,12.2,0,0,0,0,0
"212",2018-10-12,17142,11,24.6,0,20,10.3,0,0,0,0,0
"213",2018-05-07,21155,9.8,23.7,0,15,14.3,0,0,0,0,0
"214",2018-10-25,13264,10.1,15.4,0,88,4.3,0,0,0,0,0
"215",2018-03-01,3360,-11.3,-3.9,0,90,1.8,0,0,0,0,0
"216",2018-10-11,17790,8.6,25.1,0,29,10,0,0,0,0,0
"217",2018-12-09,1862,4.2,9.1,15.9,98,0,0,0,0,1,0
"218",2018-09-25,14997,4.2,13.1,0,16,8.8,0,0,0,0,0
"219",2018-04-03,11927,10,22.6,0,100,8,0,0,0,0,0
"220",2018-10-27,2149,3.4,8.8,24.5,95,0,0,0,1,0,0
"221",2018-07-21,5301,16.3,20.3,26,98,0.5,0,0,1,0,0
"222",2018-04-08,16374,4.6,22,0,8,12.1,0,0,0,1,0
"223",2018-10-09,15659,9.9,18.4,0,71,3,0,0,0,0,0
"224",2018-08-29,16380,13.1,29.2,6.9,64,10.4,0,0,0,0,0
"225",2018-02-02,7049,0.8,4.9,0,98,3.8,0,0,0,0,0
"226",2018-12-16,1740,-5.4,3.1,0.8,93,0,0,0,0,1,0
"227",2018-04-27,18391,5.3,22,0,75,13.1,0,0,0,0,0
"228",2018-03-27,6386,2.2,10.1,3,89,4.6,0,0,0,0,0
"229",2018-08-05,12132,21.4,31.9,0,38,11.8,0,0,0,1,0
