"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"71",2017-03-05,5805,"5.2","11.9","7.2","7.0",3.6,0,0,0,1,0
"72",2017-08-12,5469,"14.1","19.2","2.3","7.6",0.2,0,0,1,0,0
"73",2017-11-12,2865,"2.3","6.3","1.4","7.1",0.233,0,0,0,1,0
"74",2017-02-20,8530,"6.2","10.8","4.5","8.0",0,0,0,0,0,0
"75",2017-11-01,8943,"9.2","14.2","0.0","6.8",3.6,0,0,0,1,0
"76",2017-12-13,6938,"1.0","6.1","20.8","6.3",0,0,0,0,0,0
"77",2017-05-18,12758,"13.8","21.8","8.3","6.4",0.667,0,0,0,0,0
"78",2017-12-29,3671,"-0.7","4.9","5.0","5.1",2.233,0,0,0,0,0
"79",2017-10-09,13010,"6.9","14.2","0.8","7.2",0.1,0,0,0,0,0
"80",2017-05-23,26456,"12.8","24.8","0.0","5.9",11.333,0,0,0,0,0
"81",2017-10-12,17403,"10.8","16.9","0.0","6.7",4.433,0,0,0,0,0
"82",2017-06-19,24549,"14.0","31.5","0.0","0.8",15.083,0,0,0,0,0
"83",2017-02-17,9145,"2.7","8.8","1.5","6.6",0,0,0,0,0,0
"84",2017-07-23,13685,"14.6","21.2","2.3","6.1",5.1,0,0,0,1,0
"85",2017-01-24,7159,"-1.3","1.7","0.0","7.5",0,0,0,0,0,0
"86",2017-06-30,22183,"14.6","23.1","5.8","6.7",3.633,0,0,0,0,0
"87",2017-08-02,17381,"13.6","24.7","8.1","7.0",1.183,0,0,0,0,0
"88",2017-08-13,18360,"13.0","22.3","0.0","4.0",9.1,0,0,0,1,0
"89",2017-06-12,19091,"14.6","20.4","0.0","5.6",4.95,0,0,0,0,0
"90",2017-02-12,6303,"-1.9","8.5","0.0","5.0",3.9,0,0,0,1,0
"91",2017-01-01,2989,"-4.1","1.7","3.9","6.3",4.3,0,0,0,1,0
"92",2017-11-04,10408,"6.4","15.4","2.3","6.1",6.15,0,0,1,0,0
"93",2017-03-19,4561,"9.5","13.2","0.0","7.8",0.1,0,0,0,1,0
"94",2017-04-26,16122,"-1.4","11.1","0.0","4.0",5.4,0,0,0,0,0
"95",2017-08-21,13258,"9.5","21.9","0.0","5.4",11.25,0,0,0,0,0
"96",2017-03-02,9737,"3.0","9.1","0.5","5.7",0.2,0,0,0,0,0
"97",2017-03-27,21167,"0.4","18.9","0.0","1.4",11.9,0,0,0,0,0
"98",2017-11-06,12759,"0.2","10.9","0.0","3.3",3.633,0,0,0,0,0
"99",2017-02-18,8745,"1.9","9.7","0.0","5.8",0.5,0,0,1,0,0
"100",2017-08-30,16815,"18.0","26.4","0.6","6.0",1.467,0,0,0,0,0
"101",2017-09-03,17429,"6.4","21.2","0.0","1.5",10.25,0,0,0,1,0
"102",2017-09-04,20827,"12.0","23.2","0.0","5.4",7.733,0,0,0,0,0
"103",2017-08-27,20567,"14.3","25.2","0.0","2.8",11.617,0,0,0,1,0
"104",2017-08-07,23181,"11.1","24.8","0.0","4.5",12.1,0,0,0,0,0
"105",2017-05-15,24132,"8.0","21.7","0.0","5.0",12.517,0,0,0,0,0
"106",2017-12-10,1133,"-0.5","7.0","7.3","7.5",0,0,0,0,1,0
"107",2017-12-05,10977,"4.6","6.6","0.3","7.9",0,0,0,0,0,0
"108",2017-10-19,18738,"12.4","21.0","2.7","5.2",8.35,0,0,0,0,0
"109",2017-02-22,6856,"8.9","10.9","15.3","8.0",0,0,0,0,0,0
"110",2017-05-24,22683,"8.7","22.9","0.0","6.0",3.133,0,0,0,0,0
"111",2017-07-30,15172,"16.8","26.5","2.7","6.1",6.667,0,0,0,1,0
